18917149	1334473
35482387	267546
281993761	21500
496000071	474353
229821067	372702
28657	82756
55410034	363100
511603681	250170
59105577	365274
312992317	330560
57301391	147054
2	210736
369668896	1027677
111664	616114
85741169	137460
76278492	1333114
4460977	466320
10946	20740
3524578	574600
732470191	1110046
26829292	644453
17711	157325
13	31
44561	41465
14433171	562400
377	141540
249915801	334460
122004	120420
2	552234
70916089	63325
3524578	534270
75025	220360
233	370251
18898816	106740
58160745	117337
216066941	346740
234456527	135606
610	106
82680307	70046
273555761	154154
348032413	636462
459241057	37663
469422613	26746
13815221	352554
10946	19064
1597	56325
706162417	437657
9362923	345232
5904742	33056
377	40431
5092126	1024533
357515572	204670
228586333	162704
407151291	745000
5	430257
8	146773
1363821	31202
343134540	37524
233656327	514560
13438101	232610
74412571	101230
324881	17472
835448673	525135
350239281	10174
22473065	336440
1106561	4141
19513801	435642
41516713	240006
102334155	100300
1597	632321
111111	1111101
409374905	626304
36021773	140140
10599751	756437
411182849	24120
241992465	275012
212121	121212
674910301	327040
55970049	1132140
259326585	467600
420634276	1212107
123456	654321
231627113	1251220
2584	1205070
6765	251240
296539141	1335773
284402173	22600
886749001	1004772
525647415	430364
505	550
469935129	112267
309815933	326270
313351081	1464014
21	505310
777	616161
908589243	161335
5702887	1107460
35024809	1054112
59548557	377254
681320289	111100
121393	373500
15624729	253462
274840455	112467
165580141	662020
24157817	337771
27814666	227534
392346	714270
923553	1050254
22228846	47267
220328317	27742
1346269	326164
99210313	340211
226295669	1401040
2584	271523
376967551	206461
757381633	507404
258127851	524334
55553970	344674
21258909	117623
435226501	507734
21	1562446
74355231	211260
55986815	100214
278681983	1323432
32679505	243651
987	411700
410588378	1112033
68437896	1033266
9227465	1271147
10709441	325113
284536721	307050
266267435	705300
98026461	46016
47380411	262156
6765	342320
111145	367254
73506104	53020
17711	322214
466775079	362161
46368	316404
220971501	200410
6323491	1100700
387416394	156760
725920273	364
5665	554721
304599729	1065156
687632251	447760
514229	124
260335261	141425
91054585	550604
2178309	300762
1582417	26777
15424033	1026122
65097913	114015
610	407225
3	513540
17711	1140200
275019263	454060
28657	112200
225932497	556732
39088169	400605
21	213716
671878153	35714
10665418	157673
46847383	301314
398800657	24062
291015997	211222
221655851	71760
13	250475
316483153	101266
298160391	643350
4181	144350
419118876	41566
8	74662
610	1367270
5	16340
503991233	307211
82672225	67023
272900764	522434
418567202	12223
522806017	146250
305911225	675120
410732071	133144
267914296	15312
90414538	115040
304904125	531036
330991701	627606
54700277	100524
847614585	1051700
24157817	226173
16666098	256300
42859076	1327100
374009787	557600
41094460	11102
14930352	176154
71960293	76665
219109847	504014
277043545	354214
18137501	24624
476382481	43137
